starttime	seconds	ctime	dtime	ttime	wait
Wed Oct 16 17:31:09 2019	1571243469	20	21	41	21
Wed Oct 16 17:31:09 2019	1571243469	19	23	42	22
Wed Oct 16 17:31:09 2019	1571243469	21	21	42	21
Wed Oct 16 17:31:09 2019	1571243469	19	23	43	23
Wed Oct 16 17:31:09 2019	1571243469	22	21	43	21
Wed Oct 16 17:31:09 2019	1571243469	23	20	43	20
Wed Oct 16 17:31:09 2019	1571243469	21	22	43	22
Wed Oct 16 17:31:09 2019	1571243469	21	22	43	22
Wed Oct 16 17:31:09 2019	1571243469	21	23	43	23
Wed Oct 16 17:31:09 2019	1571243469	19	25	44	24
Wed Oct 16 17:31:09 2019	1571243469	23	21	44	20
Wed Oct 16 17:31:09 2019	1571243469	23	21	44	20
Wed Oct 16 17:31:09 2019	1571243469	25	20	44	19
Wed Oct 16 17:31:09 2019	1571243469	24	20	44	20
Wed Oct 16 17:31:09 2019	1571243469	23	22	45	22
Wed Oct 16 17:31:09 2019	1571243469	21	24	45	24
Wed Oct 16 17:31:09 2019	1571243469	26	20	45	20
Wed Oct 16 17:31:08 2019	1571243468	21	25	46	24
Wed Oct 16 17:31:09 2019	1571243469	23	23	46	22
Wed Oct 16 17:31:09 2019	1571243469	22	24	46	24
Wed Oct 16 17:31:09 2019	1571243469	24	22	46	22
Wed Oct 16 17:31:08 2019	1571243468	20	26	46	25
Wed Oct 16 17:31:09 2019	1571243469	22	25	46	25
Wed Oct 16 17:31:09 2019	1571243469	26	21	46	20
Wed Oct 16 17:31:09 2019	1571243469	23	24	47	23
Wed Oct 16 17:31:09 2019	1571243469	19	28	47	28
Wed Oct 16 17:31:09 2019	1571243469	23	24	47	23
Wed Oct 16 17:31:09 2019	1571243469	25	22	47	22
Wed Oct 16 17:31:09 2019	1571243469	27	20	47	20
Wed Oct 16 17:31:09 2019	1571243469	21	27	48	26
Wed Oct 16 17:31:09 2019	1571243469	24	24	48	24
