starttime	seconds	ctime	dtime	ttime	wait
Wed Oct 16 17:31:09 2019	1571243469	25	24	48	24
Wed Oct 16 17:31:09 2019	1571243469	24	24	48	24
Wed Oct 16 17:31:09 2019	1571243469	25	23	49	23
Wed Oct 16 17:31:09 2019	1571243469	24	25	49	24
Wed Oct 16 17:31:09 2019	1571243469	24	25	49	25
Wed Oct 16 17:31:09 2019	1571243469	24	25	49	24
Wed Oct 16 17:31:09 2019	1571243469	26	24	49	24
Wed Oct 16 17:31:09 2019	1571243469	22	28	50	28
Wed Oct 16 17:31:09 2019	1571243469	28	22	50	22
Wed Oct 16 17:31:09 2019	1571243469	27	23	51	23
Wed Oct 16 17:31:09 2019	1571243469	26	25	51	24
Wed Oct 16 17:31:09 2019	1571243469	26	25	51	25
Wed Oct 16 17:31:09 2019	1571243469	21	30	51	30
Wed Oct 16 17:31:09 2019	1571243469	28	24	51	24
Wed Oct 16 17:31:09 2019	1571243469	22	31	53	31
Wed Oct 16 17:31:09 2019	1571243469	31	23	53	22
Wed Oct 16 17:31:09 2019	1571243469	21	33	53	32
Wed Oct 16 17:31:09 2019	1571243469	23	31	54	31
Wed Oct 16 17:31:09 2019	1571243469	30	24	54	23
Wed Oct 16 17:31:09 2019	1571243469	21	33	54	33
Wed Oct 16 17:31:09 2019	1571243469	22	32	54	32
Wed Oct 16 17:31:09 2019	1571243469	26	28	55	28
Wed Oct 16 17:31:09 2019	1571243469	25	30	55	30
Wed Oct 16 17:31:09 2019	1571243469	22	34	56	34
Wed Oct 16 17:31:09 2019	1571243469	36	20	56	20
Wed Oct 16 17:31:09 2019	1571243469	21	37	57	36
Wed Oct 16 17:31:09 2019	1571243469	23	35	58	34
Wed Oct 16 17:31:09 2019	1571243469	26	32	58	32
Wed Oct 16 17:31:08 2019	1571243468	19	39	58	38
Wed Oct 16 17:31:09 2019	1571243469	34	25	59	24
Wed Oct 16 17:31:09 2019	1571243469	20	39	59	39
Wed Oct 16 17:31:08 2019	1571243468	20	40	60	39
Wed Oct 16 17:31:09 2019	1571243469	26	34	60	34
Wed Oct 16 17:31:09 2019	1571243469	22	39	60	39
Wed Oct 16 17:31:09 2019	1571243469	24	36	61	36
Wed Oct 16 17:31:09 2019	1571243469	25	36	61	35
Wed Oct 16 17:31:09 2019	1571243469	22	39	61	39
Wed Oct 16 17:31:09 2019	1571243469	27	36	62	35
Wed Oct 16 17:31:09 2019	1571243469	37	25	62	25
Wed Oct 16 17:31:09 2019	1571243469	22	40	63	39
Wed Oct 16 17:31:09 2019	1571243469	39	26	65	26
Wed Oct 16 17:31:09 2019	1571243469	27	38	65	37
Wed Oct 16 17:31:09 2019	1571243469	28	37	65	37
Wed Oct 16 17:31:09 2019	1571243469	25	42	68	42
Wed Oct 16 17:31:09 2019	1571243469	25	44	68	43
Wed Oct 16 17:31:09 2019	1571243469	27	43	70	42
Wed Oct 16 17:31:09 2019	1571243469	24	46	71	46
Wed Oct 16 17:31:09 2019	1571243469	29	44	73	44
Wed Oct 16 17:31:09 2019	1571243469	27	47	74	46
Wed Oct 16 17:31:08 2019	1571243468	47	26	74	26
Wed Oct 16 17:31:09 2019	1571243469	34	40	74	40
Wed Oct 16 17:31:08 2019	1571243468	46	28	74	28
Wed Oct 16 17:31:09 2019	1571243469	40	36	76	35
Wed Oct 16 17:31:09 2019	1571243469	42	38	80	38
Wed Oct 16 17:31:09 2019	1571243469	25	58	83	57
Wed Oct 16 17:31:09 2019	1571243469	19	68	87	67
Wed Oct 16 17:31:08 2019	1571243468	60	28	88	28
Wed Oct 16 17:31:09 2019	1571243469	22	70	92	69
Wed Oct 16 17:31:09 2019	1571243469	42	63	104	63
Wed Oct 16 17:31:09 2019	1571243469	26	132	159	132
Wed Oct 16 17:31:08 2019	1571243468	22	556	578	556
Wed Oct 16 17:31:08 2019	1571243468	47	536	583	536
Wed Oct 16 17:31:08 2019	1571243468	49	581	630	580
Wed Oct 16 17:31:08 2019	1571243468	50	589	638	588
Wed Oct 16 17:31:08 2019	1571243468	19	622	641	621
Wed Oct 16 17:31:08 2019	1571243468	61	586	647	586
Wed Oct 16 17:31:08 2019	1571243468	48	599	647	599
Wed Oct 16 17:31:08 2019	1571243468	60	591	651	590
Wed Oct 16 17:31:08 2019	1571243468	49	656	705	655
